City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okhotsk,84,RU,1570837581,67,59.36,143.24,-1.99,0.742
Hermanus,100,ZA,1570837715,91,-34.42,19.24,13.04,1.34
Katsuura,75,JP,1570837715,83,33.93,134.5,21.81,14.4
Geraldton,90,CA,1570837715,100,49.72,-86.95,14.0,4.1
Altay,0,CN,1570837716,45,47.83,88.13,2.28,2.111
Bredasdorp,97,ZA,1570837716,87,-34.53,20.04,11.19,0.5
Bayir,0,TR,1570837717,93,37.27,28.22,17.0,1.0
Puteyets,100,RU,1570837717,92,65.17,57.09,2.1,1.864
Leua,79,AO,1570837717,89,-11.65,20.45,18.65,1.585
Chara,20,GR,1570837718,88,39.42,22.43,18.52,1.379
Atherton,0,AU,1570837718,61,-17.27,145.48,27.87,5.7
Avera,1,US,1570837718,60,33.19,-82.53,22.0,1.274
Punta Arenas,40,CL,1570837718,80,-53.16,-70.91,3.94,12.3
Am Timan,100,TD,1570837719,89,11.04,20.28,22.62,2.147
Pevek,66,RU,1570837719,73,69.7,170.27,-4.77,8.689
Yellowknife,75,CA,1570837719,68,62.45,-114.38,5.0,11.3
Busselton,38,AU,1570837719,56,-33.64,115.35,13.28,2.33
Castro,100,CL,1570837720,87,-42.48,-73.76,11.0,3.6
Aksarka,44,RU,1570837720,87,66.56,67.8,-0.3,5.217
Thanh Hoa,40,VN,1570837720,100,10.21,106.33,25.0,0.884
Carnarvon,83,ZA,1570837720,10,-30.97,22.13,14.99,1.409
Chokurdakh,96,RU,1570837721,95,70.62,147.9,-8.25,4.238
Ozernovskiy,81,RU,1570837721,82,51.5,156.52,10.55,5.444
Rikitea,76,PF,1570837721,58,-23.12,-134.97,20.8,3.494
Chuy,52,UY,1570837722,83,-33.69,-53.46,18.45,1.319
Kita,75,JP,1570837722,100,35.76,139.74,23.18,9.3
Sao Luiz Gonzaga,45,BR,1570837722,57,-28.41,-54.96,27.39,3.73
Hithadhoo,100,MV,1570837722,80,-0.6,73.08,27.33,7.891
Ushuaia,75,AR,1570837723,97,-54.81,-68.31,4.0,8.2
Kilindoni,57,TZ,1570837723,83,-7.91,39.67,26.31,6.578
Cidreira,11,BR,1570837723,76,-30.17,-50.22,22.08,7.21
Hualmay,0,PE,1570837723,83,-11.1,-77.61,14.45,0.84
Kapaa,90,US,1570837724,78,22.08,-159.32,28.66,3.1
Morant Bay,20,JM,1570837724,66,17.88,-76.41,30.0,6.2
New Norfolk,20,AU,1570837725,53,-42.78,147.06,11.84,1.5
Ust-Kulom,100,RU,1570837725,97,61.69,53.69,3.36,3.473
Arlit,95,NE,1570837725,19,18.74,7.39,34.16,4.557
Saskylakh,97,RU,1570837725,83,71.97,114.09,-10.46,1.865
Atuona,5,PF,1570837726,70,-9.8,-139.03,26.01,5.336
Basoko,95,CD,1570837726,99,1.23,23.61,20.26,1.874
Juneau,75,US,1570837726,81,58.3,-134.42,9.23,1.5
Vejprty,95,CZ,1570837726,81,50.49,13.03,11.14,1.5
Rawson,39,AR,1570837726,61,-43.3,-65.11,12.74,7.821
Chumikan,10,RU,1570837727,43,54.72,135.31,-2.38,10.002
